price,ratingCount,avg_rating
899,1321,4.548826646
599,1531,4.536250816
899,30,4.366666667
599,232,4.547413793
599,0,0
699,118,4.245762712
999,0,0
999,41,4.536585366
999,47,4.382978723
1399,0,0
499,154,4.415584416
1499,12,4
999,7,4.571428571
599,173,4.098265896
899,12,4.666666667
599,59,4.084745763
6999,0,0
999,15,4.133333333
699,21,4.19047619
999,9,4
599,0,0
599,33,4.181818182
799,207,3.739130435
3499,9,4.555555556
999,0,0
699,51,4.37254902
899,0,0
899,0,0
999,5,4.2
799,0,0
899,18,4.444444444
899,87,4.022988506
799,16,3.3125
2399,11,3.727272727
499,5,4.4
999,0,0
599,11,4.272727273
599,19,4.052631579
999,18,4.666666667
999,7,4.285714286
799,35,4.285714286
2199,0,0
899,0,0
799,13,4.615384615
1999,0,0
799,10,4.8
899,14,4.357142857
899,0,0
1499,0,0
1399,0,0
1299,13,4.615384615
999,8,4.25
1099,0,0
999,0,0
899,29,3.862068966
2499,34,3.852941176
899,0,0
1199,0,0
899,0,0
899,0,0
3499,0,0
899,0,0
899,7,4.714285714
799,4,4.5
1999,0,0
1499,0,0
2499,5,3.8
2199,0,0
1899,0,0
2199,0,0
1599,6,4.5
1399,0,0
1399,7,4.571428571
899,0,0
1199,0,0
1299,4,4
1199,8,4.375
999,0,0
1199,0,0
1199,0,0
1099,0,0
1599,0,0
1399,5,4
1299,0,0
1099,13,4.461538462
1099,0,0
1499,7,4.714285714
999,0,0
899,40,4.4
899,67,4.358208955
899,105,4.20952381
899,18,3.888888889
899,23,3.695652174
1099,0,0
1099,0,0
1099,0,0
799,0,0
799,3,4.333333333
799,0,0
599,25,3.88
599,0,0
899,5,5
899,0,0
899,0,0
449,6,2.833333333
2999,0,0
1499,5,3.8
6999,0,0
449,27,3.703703704
1499,0,0
1999,0,0
899,0,0
1499,14,4.142857143
1399,5,4.2
1699,0,0
999,11,4.454545455
4599,0,0
1999,0,0
1299,0,0
1999,0,0
899,0,0
1399,0,0
799,7,4.857142857
1499,0,0
999,36,4
699,7,3.428571429
2399,0,0
2499,0,0
899,15,4.266666667
699,14,3.214285714
1499,8,4.25
1499,6,4.666666667
1499,0,0
899,0,0
1499,0,0
1999,0,0
999,7,2.285714286
999,1,4
1099,0,0
2499,4,4.75
999,5,4.4
999,0,0
1299,5,4.6
599,13,4.230769231
999,0,0
1699,0,0
799,18,4.611111111
799,0,0
1899,0,0
599,21,4.428571429
2199,0,0
2199,0,0
2199,0,0
1099,3,4.333333333
1099,0,0
1299,0,0
999,0,0
999,0,0
899,17,4.470588235
1499,0,0
899,0,0
799,0,0
799,0,0
1399,0,0
1099,0,0
1299,0,0
999,0,0
949,3,3
1099,0,0
1099,0,0
1099,0,0
1199,5462,4.313255218
2599,752,4.21143617
999,472,4.283898305
499,3106,4.300708307
1999,1211,4.45251858
1199,13938,4.226287846
599,5097,3.645085344
1299,191,4.314136126
1299,240,4.254166667
2199,116,4.146551724
2299,1103,3.936536718
1599,1112,4.450539568
1199,273,4.245421245
3299,0,0
2299,602,4.509966777
1299,789,4.248415716
